Domain,Master,Topic,Control Statement,ISO42001,ISO27001,ISO27701,EU AI ACT,NIST RMF,SOC2
Governance & Leadership,GL-1,Executive Commitment and Accountability,"The organisation's executive leadership shall establish, document, and maintain formal accountability for AI governance through approved policies that align with organisational objectives and values. These policies shall be reviewed at planned intervals by executive leadership to ensure continued effectiveness and relevance. Executive leadership shall demonstrate active engagement in AI risk decisions and maintain ultimate accountability for the organisation's AI systems.","4.1
5.1
5.2
9.3
A.2.2
A.2.3
A.2.4","5.1
5.2
9.3
A.5.1
A.5.2
","6.1.1
6.1.2",4.1,"Govern 1.1
Govern 2.3
Govern 3.1","CC.1.1
CC.1.2
CC.1.3
CC.1.4
CC.1.5
CC.5.3"
Governance & Leadership,GL-2,"Roles, Responsibilities & Resources","The organisation shall define, document, and maintain clear roles and responsibilities for AI governance, ensuring appropriate segregation of duties and allocation of resources. These roles shall be staffed with competent individuals who understand their responsibilities for AI system development, deployment, and oversight. The organisation shall maintain documentation of required resources, including personnel competencies, tools, and infrastructure needed for effective AI governance.","5.3
7.1-7.3
A.3.2
A.4.2
","5.3
7.1-7.3
A.6.1
A.6.2
A.7.2
","6.2.1
6.2.2
7.2.2
9.2.3","22.1
22.2
26.3",,"CC.1.3
CC.1.4"
Governance & Leadership,GL-3,Strategic Alignment & Objectives,"The organisation shall document clear objectives for the responsible development and use of AI systems, ensuring alignment between business goals, ethical principles, and regulatory requirements. These objectives shall be integrated into organisational practices and regularly reviewed to maintain effectiveness. The organisation shall foster an environment that promotes critical thinking and safety-first approaches to AI development and deployment.","4.1-4.4
5.2
6.2-6.3
A.2.2-A.2.4
A.6.1.2
A.9.3
A.9.4","4.1-4.4
6.2-6.3","A.7.2.1
A.7.2.2
B.8.2.2",,"Map 1.3
Map 1.4
Govern 1.1
Govern 1.2
Govern 4.1
Govern 3.1",
Risk Management,RM-1,Risk Management Framework and Governance,"The organisation shall establish, document, and maintain a comprehensive risk management system covering the entire AI lifecycle. This system shall define clear roles, responsibilities, and processes for identifying, assessing, treating, and monitoring AI-related risks. The framework shall incorporate regular reviews by executive leadership and ensure risk management activities align with organisational risk tolerance. Risk management processes shall be transparent, documented, and appropriately resourced to maintain effectiveness.","6.1
",6.1,"12.2.1
A.7.2.5
A.7.2.8
B.8.2.6","9.1
9.2","Govern 1.3
Govern 1.4
Govern 1.5
Map 1.5",CC3.1
Risk Management,RM-2,Risk Identification and Impact Assessment,"The organisation shall conduct and document comprehensive impact assessments for AI systems, evaluating potential effects on individuals, groups, and society throughout the system lifecycle. These assessments shall consider fundamental rights, safety implications, environmental impacts, and effects on vulnerable populations. The organisation shall maintain a systematic approach to identifying both existing and emerging risks, including those from third-party components and systems.","6.1.1-6.1.2
6.1.4
8.4
A.5.2
A.5.3
A.5.4
A.5.5
",6.1.2,"A.7.2.5
A.7.3.10
A.7.4.4","9.9
27.1","Map 1.1
Map 3.1
Map 3.2
Measure 2.6
Measure 2.7
Measure 2.8
Measure 2.10
Measure 2.12",CC3.2
Risk Management,RM-3,Risk Treatment and Control Implementation,"The organisation shall implement appropriate technical and organisational measures to address identified risks, ensuring controls are proportionate to risk levels and organisational risk tolerance. Risk treatment strategies shall be documented and prioritised based on impact and likelihood, with clear accountability for implementation. The organisation shall maintain specific protocols for high-risk AI systems, including quality management systems and compliance verification processes.",6.1.3,6.1.3,"A.7.4.1
A.7.4.2
A.7.4.4
A.7.4.5","8.1
8.2
17.1
9.3
9.4
9.5","Manage 1.2
Manage 1.3
Manage 1.4","CC5.1
CC9.1"
Risk Management,RM-4,Risk Monitoring and Response,"The organisation shall implement continuous monitoring processes to track the effectiveness of risk controls and identify emerging risks throughout the AI lifecycle. This shall include mechanisms for detecting and responding to previously unknown risks, regular evaluation of third-party risk exposure, and processes for incident response and recovery. The organisation shall maintain documentation of monitoring activities and ensure appropriate escalation paths for risk-related issues.","6.1.3
8.1-8.3","6.1.3
8.1-8.3
","A.7.4.3
A.7.4.9
B.8.2.4
B.8.2.5
B.8.4.3",9.6,"Measure 3.1
Measure 3.2
Manage 2.1
Manage 2.2
Manage 2.3
Manage 3.1
Govern 6.1
Govern 6.2","CC3.4
CC9.2"
Regulatory Operations,RO-1,Regulatory Compliance Framework,"The organisation shall establish, document, and maintain a comprehensive framework for ensuring compliance with applicable AI regulations and standards. This framework shall include processes for identifying relevant requirements, assessing applicability, implementing necessary controls, and verifying ongoing compliance. The organisation shall maintain systematic processes for tracking and implementing new regulatory requirements, conducting conformity assessments, maintaining necessary certifications, and ensuring timely renewal of compliance documentation. Special attention shall be given to high-risk AI system requirements and prohibited practices. The organisation shall implement processes to track changes that may affect compliance status and maintain evidence of continued conformity with legal obligations",,A.18.1,"18.2.1
A.7.2.1-A.7.2.4
B.8.2.1-B.8.2.2
B.8.2.4-B.8.2.5","5.1
5.2
6.1-6.4
8.1-8.2
40.1
41.1
42.1
43.1-43.4
44.2-44.3
47.1-47.4
49.1-49.3
","Govern 1.1
Map 4.1",CC1.5
Regulatory Operations,RO-2,"Transparency, Disclosure and Reporting","The organisation shall implement mechanisms to ensure appropriate transparency regarding AI systems, including clear notification of AI use, disclosure of automated decision-making, and communication of significant system changes. The organisation shall establish and maintain processes for reporting incidents, safety issues, and non-compliance to relevant authorities and affected stakeholders. This shall include clear procedures for incident detection, assessment, notification timelines, and follow-up actions.","A.8.3
A.8.5",A.6.3,"6.2.3
A.7.3.2-A.7.3.3
A.7.3.8-A.7.3.9
A.7.5.3-A.7.5.4
B.8.5.3-B.8.5.6","50.1-50.5
86.1-86.3
20.1
20.2
60.7
60.8","Govern 6.1
Map 4.1","CC2.3
P1.1
P1.2
P1.3"
Regulatory Operations,RO-3,Record-Keeping,"The organisation shall maintain comprehensive documentation and records demonstrating compliance with AI regulatory requirements. This shall include technical documentation, conformity assessments, impact analyses, test results, and evidence of ongoing monitoring. The organisation shall establish retention periods aligned with regulatory requirements, implement secure storage systems, and ensure documentation remains accessible to authorised parties throughout required retention periods.",,A.7.2,"8.2.3
A.7.2.8
A.7.3.1
A.7.4.3
A.7.4.6-A.7.4.8
B.8.2.6
B.8.4.1-B.8.4.2","11.1
11.3
18.1
19.1
19.2
71.2
71.3","Map 4.1
Measure 2.12","P3.1
P3.2
P3.3"
